,"molicaer","nardstri","festrubr","brizmed","anthodor","siegdecu","holclana","agrospp.","festprat","cynocris","descespi","poaprate","festovin","avenpube","carepani","carepale","carepuli","careumbr","carestel","carelepo","carepilu","carenigr","careflav","carehirt","carehart","luzumult","junceffu","scirsylv","lathprat","lychflos","cirspalu","selicarv","ranunemo","ranuauri","poteerec","lysivulg","achiptar","angesilv","senerivu","mentarve","myospalu","centjace","rumeacet","scorhumi","prunvulg","vicicrac","sangoffi","ajugrept","galibore","galiulig","galipalu","ranuacer","valedioi","saliauri","equiarve","equipalu","planlanc","leonhisp","taraoffi","pedisilv","pimpmajo","verocham","verooffi","alchvulg","stelgram","betooffi","hierumbe","epilpalu","epilcili","trifdubi","succprat","ceravulg","cardprat","serrtinc","pinusylv","dactmaja","querrobu","ranuflam","pseupuru","aulapalu","brachyte","climdend","rhitsqua","hylosple","sphagnum","pleuschr"
"r94p1",30,25,10,5,2,1,5,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,7,5,0,10,2,0,0,0,0,10,7,10,6,2,0.5,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0
"r94p2",30,25,5,3,3,1,2,1,0,0,0,0,0,0,7,10,2,2,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,10,4,3,2,0,1,1,0,0,0,2,0,0,0,0,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,0,0,0,0
"r94p3",20,1,10,5,3,5,6,3,0,0,7,0,0,0,15,10,5,0,0,0,0,0,0,0,0,5,10,0,1,0,10,1,1,0,7,4,8,0,0,0.01,2,0,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0
"r94p4",20,15,12,3,5,4,5,2,0,0,0,0,0,0,10,0,3,0,5,0,0,0,0,0,0,2,2,0,2,0,7,0,0,0,10,0,10,0,0,2,2,0,0,0,3,0.5,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,1,0,0
"r94p5",40,10,10,5,3,3,3,0,0,0,0,0,0,0,5,5,0.5,0,3,3,0,0,0,0,0,2,3,2,2,2,5,0,0.5,0,2,3,7,2,0,0,0,3,2,0,3,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,1,0,0
"r94p6",40,20,4,3,2,3,4,0,0,0,0,0,0,0,4,4,3,0,0,0,3,0,0,0,0,2,3,2,3,0,0,4,1,1,4,3,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,1,0,0
"r94p7",25,17,3,5,7,4,4,0,2,0.5,0,0,0,0,6,4,1,0,0,0,2,0,0,0,0,2,2,2,0,2,2,0,1,0,7,3,2,2,0,2,2,0,0,0,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,3,0,0
"r94p8",20,15,7,2,2,2,2,1,2,0,0,0,0,0,8,8,0.5,0,0,4,0,2,0,0,0,2,4,0,0,1,3,0,1,0,3,4,1,0,0,2,2,0,0,0,2,0,0,2,0,10,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,2,1,0
"r94p9",35,10,2,4,3,3,5,5,0,0,2,0,0,0,6,2,2,0,0,0,0,0,2,0,0,2,3,3,0,0,2,0,1,0,3,5,2,2,3,0,1,0,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
"r94p10",35,10,5,6,3,1,3,4,0,1,2,0,0,0,1,4,0.2,0,0,2,1,0,0,0,0,2,2,0,0.5,0,1,3,0.5,0,4,3,1,0,1,0,1,0,2,0.5,1,0,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,0,0
"r94p11",35,8,3,7,1,3,1,0,0,0,2,0,0,0,6,3,0,0,0,2,0,0,0,0,2,2,5,0,0.5,4,0,3,0,0,10,2,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0
"r94p12",30,15,7,3,0,1,4,3,0,0,3,0,0,0,7,2,1,0,1,3,0,0,0,0,2,2,2,0,1,4,4,0.5,0.5,0,12,7,2,1,0,1,4,0,0,1,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0
"r94p13",30,10,5,2,0,1,5,0,0,0,0,1,0,0,3,2,1,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0.5,0,0,4,0,1,1,0,0,0,0,1,2,0,0,0,8,2,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0
"r94p14",45,15,5,1,3,0,3,1,2,0,0,0,0,0,3,2,1,0,0,0,0,2,0,0,0,5,2,0,1,2,3,0,0.5,0,4,2,0,0.5,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,2,4,0,2,3,0,0,0
"r94p15",35,10,5,2,1,2,0,0,0,0,0,0,5,0,4,2,1,0,0,0,0,0,0,0,0,3,4,0,3,0,2,0,0,1,6,1,2,2,0,0,0,0,0,0,0.5,0.5,0,0,4,0,0,0,1,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0
"r94p16",55,0,10,4,1,2,5,0,0,0,0,0,3,0,5,4,4,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0.2,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0
"r94p17",40,5,3,3,1,0.5,0,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"r94p18",35,5,5,1,2,2,7,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,10,0,0.5,2,0,0,1,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"r94p19",42,8,5,5,5,0,3,0,0,0,0,0,0,0,2,2,1,0,0,0,0.5,0,0,0,0,2,3,0,2,0,2,0.5,1,0,8,1,2,1,0,0,1,0,0.5,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0.5,0,0,0,0,0,0,0,5,20,0,0,0,0,0
"r94p20",30,15,5,5,3,0,0,1,0,0,2,2,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,2,5,0,1,2,3,1,2,0,5,3,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0.5,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"r94p21",50,10,3,2,0,0,2,3,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,1,0,4,2,0,2,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,1,0,0,0
"r94p22",45,5,5,1,2,1,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,4,0,1,0,0.2,0.2,1,0,8,0,0,1,0,0,0,0,0,0.5,2,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.5,1,0.2,0,1,0,0,0
"r94p23",50,25,4,2,0.5,1,0,1,0,0,0,0,0,0,0.5,2,1,0,0,0,0,0,0,0,0,1,2,0,2,0,3,3,0,0,7,0,0,1,0,0,0,0,0,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0
"r94p24",40,20,5,2,0,1,2,0,0,0.5,3,0,0,0,1,2,0,0,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0,3,0,5,0,0,7,0,0,2,0,3,0,1,0,0,0,2,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,10,3,10,0,0,0
"r95p1",1,20,15,8,7,2,15,0,3,2,0,0,0,0,3,3,1,0,0,0,5,0,0,0,0,1,1,0,2,1,0,0,0,1,12,5,8,4,2,2,7,0,2,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0,2,3,1,0,0
"r95p2",35,12,5,3,0,0,3,0,0,0,0,0,0,0,3,2,1,2,0,2,3,0,0,0,0,1,1,2,2,0,2,0,0,0.5,7,3,4,2,2,1,7,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,5,0,0,0
"r95p3",0,0,8,5,3,0,45,3,0,6,10,0,3,0,2,0,0,0,0,2,1,1,0,0,0,2,1,1,1,0,2,3,0,1,1,6,3,1,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,0,0,0
"r95p4",10,3,13,5,6,2,10,4,0,0,5,0,5,0,4,3,0,0,1,2,3,3,0,0,0,2,1,0,5,7,5,0,0,2,6,1,10,4,0,0,7,0,0,0,2,1,0,4,10,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,4,1,0,0
"r95p5",1,3,6,3,2,2,3,0,3,0,0,0,12,0,10,3,2,0,0,2,5,0,0,0,0,2,0,3,2,2,4,0.2,0,0,4,2,15,2,0,0,5,4,0,3,0,2,3,0,3,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,2,0,0
"r95p6",25,5,4,12,2,0,5,2,0,0,0,0,7,0,2,2,2,5,0,0,7,0,0,0,0,2,1,3,3,0,4,8,1,2,8,3,2,0,0,0.5,4,0,0,3,1,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,3,8,2,0,0
"r95p7",10,10,7,0,4,2,10,2,3,6,0,1,3,0,3,3,2,0,1,2,1,0,0,0,0,2,2,7,3,1,2,0,0,0,5,5,5,2,0,5,7,0,0,0,2,0,0,3,2,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,1,1,1,0,0
"r95p8",30,10,7,9,10,0,30,15,0,4,0,6,0,0,3,4,2,0,1,4,1,0,0,0,0,1,3,0,2,0,5,0,0.2,0.5,4,4,2,2,0,0,10,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,3,2,0,0,5,0,0,0
"r95p9",25,3,10,5,10,0,30,5,2,3,0,0,10,3,1,3,0,0,2,0,1,0,0,0,0,2,2,3,3,0,4,0,0,0,2,4,3,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"r95p10",5,12,15,0,3,0,10,12,1,0,8,0,4,0,5,2,0,0,0,2,1,0,0,0,0,2,2,5,2,1,3,0,0,1,3,4,3,0,2,0,3,0,3,3,2,0,7,0,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.5,2,0.5,0,0
"r95p11",25,4,5,5,3,0,15,4,0,2,5,3,4,0,8,8,0,0,0,1,2,0,0,0,0,2,3,0,2,7,3,1,0,0,10,3,3,0,0,1,9,0,0,0,7,0.2,0,1,2,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,8,4,4,6,0,0,2
"r95p12",3,10,7,2,2,2,10,3,2,0,6,2,0,0,5,4,2,3,0,2,3,0,0,0,0,1,2,0,2,0,6,1,0,1,12,4,3,3,1,0,7,0,2,2,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,0,3,0.5,1,0,0
"r95p13",55,2,5,2,0,0,6,0,2,0,0,0,10,0,5,5,0,2,0,0,3,3,0,0,0,2,1,0,2,0,2,0,0.5,0,2,1,0,3,3,0,2,0,0,2,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,3,2,0,0
"r95p14",0,8,20,5,5,2,45,5,3,0,0,0,15,0,2,2,0,0,0,2,2,0,0,0,0,1,1,0,2,1,4,0,1,1,5,2,0,1,0,0,2,0,0,1,1,0,0,1,4,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"r95p15",30,5,4,2,1,0,8,2,2,0,0,0,15,0,4,3,2,0,0,0,3,0,0,0,0,1,2,0,2,0,3,0.2,0,2,6,2,3,3,0,0,0,0,0,0,1,0.5,0,0,5,1,0,0,3,0,0,0,1,0,0,0,0,13,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,2,0,0,0
"r95p16",3,0,15,7,0,5,2,5,0,8,0,0,10,0,15,7,0,0,0,0,0,0,0,0,3,2,2,0,2,3,2,0,0,0,15,0,2,2,0,0,2,0,0,1,1,0,0,1,8,4,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,1,0,4,2,0,0,0
"r95p17",6,4,2,3,2,0,5,2,0,0,0,0,13,0,2,4,1,2,0,0,3,0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0,4,0,0,0,0,0,2,1,1,1,0.5,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,0,0,0,0,0,0.5,0,0,0,0,0,0,2,6,0,2,3,0,0,0
"r95p18",25,3,10,3,0,0,35,3,0,0,3,3,20,0,0.5,2,0,0,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,3,0,0,0,0,1,2,0,0,2,0,0,0
"r95p19",10,4,4,1,0,1,15,0,0,0,0,8,4,0,10,15,1,5,0,0,7,0,0,0,0,0,3,0,3,0,4,0,0,0,5,2,4,4,0,0,7,0,0,1,0.5,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,1,0,0,0.3,0,0,2,2,0,1,2,0,0,0
"r95p20",30,5,6,2,1,0,10,5,1,0,2,0,10,0,2,5,1,0,0,0,3,0,0,0,0,2,1,0,0,2,4,0.2,0,0,5,1,0,0,0,0,2,0,0,2,0.2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,5,0,0,0,0.1,0,0,0,2,3,0,2,4,0,0,0
"r95p21",4,12,2,3,0,0,10,10,0,0,0,0,30,0,1,4,0,4,0,0,0,0,0,0,0,5,1,0,2,0,2,0,2,0,6,0,0,0,0,0,1,0,2,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0
